id,educate,american,group
12688,14,6.666666,Not immigrant
12691,20,17.5,Not immigrant
12699,16,10,Not immigrant
12707,10,14.000001,Not immigrant
12735,16,14.000001,Not immigrant
12743,14,20,Not immigrant
12776,14,17.5,Not immigrant
12780,14,22.5,Not immigrant
12796,12,16.666668,Not immigrant
12813,14,14.000001,Not immigrant
12815,16,17.5,Not immigrant
12831,20,15.999999,Not immigrant
12836,14,12,Not immigrant
12840,12,20,Not immigrant
12843,20,18,Not immigrant
12845,10,0,Not immigrant
12846,18,13.333332,Not immigrant
12848,16,3.3333337,Not immigrant
12859,12,6,Not immigrant
12864,16,12.5,Not immigrant
12882,13,16.666668,Not immigrant
12921,20,12,Not immigrant
12925,14,15,Not immigrant
12933,14,6,Not immigrant
12934,12,14.000001,Not immigrant
12953,20,18.333332,Not immigrant
12968,16,22.5,Not immigrant
12987,16,20,Not immigrant
12994,12,15,Not immigrant
13006,10,0,Not immigrant
13009,14,24,Not immigrant
13025,20,17.5,Not immigrant
13055,20,12,Not immigrant
13070,18,20,Not immigrant
13089,13,22.5,Not immigrant
13093,12,10,Not immigrant
13103,14,6.666666,Not immigrant
13105,12,18,Not immigrant
13117,14,23.333332,Not immigrant
13130,14,20,Not immigrant
13161,20,20,Not immigrant
13162,20,17.5,Not immigrant
13169,14,24,Not immigrant
13182,16,16.666668,Not immigrant
13183,20,18,Not immigrant
13208,14,8.333334,Not immigrant
13290,12,1.6666663,Not immigrant
13300,16,7.9999995,Not immigrant
13311,14,7.5,Not immigrant
13320,12,5,Not immigrant
13321,16,6.666666,Not immigrant
13331,12,20,Not immigrant
13352,16,18,Not immigrant
13381,16,18,Not immigrant
13422,16,20,Not immigrant
13431,14,10,Not immigrant
13433,14,7.9999995,Not immigrant
13464,12,12,Not immigrant
13481,16,14.000001,Not immigrant
13483,16,12,Not immigrant
13486,20,26.666668,Not immigrant
13491,20,25,Not immigrant
13494,14,30,Not immigrant
13521,16,22.5,Not immigrant
13540,14,13.333332,Not immigrant
13586,16,1.6666663,Not immigrant
13639,20,23.333332,Not immigrant
13649,14,13.333332,Not immigrant
13659,20,22.5,Not immigrant
