state,county,teen_birth_rate,per_uninsured,per_hsgrads,per_child_poverty,per_singleparent
Georgia,Webster,71,24,89,31,72
Georgia,Wheeler,87,28,82,35,36
Georgia,White,53,23,94,25,31
Georgia,Whitfield,101,28,85,27,32
Georgia,Wilcox,73,26,83,38,50
Georgia,Wilkes,56,23,78,39,61
Georgia,Wilkinson,63,20,79,33,45
Georgia,Worth,52,22,73,30,48
Hawaii,Honolulu,36,7,100,12,27
Idaho,Ada,30,15,84,16,23
Idaho,Adams,25,27,68,25,33
Idaho,Bannock,40,17,91,20,23
Idaho,Bear Lake,19,20,85,20,10
Idaho,Benewah,53,21,77,25,33
Idaho,Bingham,42,22,80,20,20
Idaho,Blaine,35,21,76,15,16
Idaho,Boise,21,21,74,21,31
Idaho,Bonner,30,21,77,25,27
Idaho,Bonneville,48,17,87,17,20
Idaho,Boundary,33,24,76,25,25
Idaho,Butte,37,23,24,22,25
Idaho,Canyon,68,24,73,25,26
Idaho,Caribou,29,18,91,16,15
Idaho,Cassia,53,24,87,21,20
Idaho,Clearwater,38,21,95,26,25
Idaho,Elmore,62,20,72,22,21
Idaho,Franklin,26,20,94,15,12
Idaho,Fremont,42,26,72,24,11
Idaho,Gem,48,23,75,25,26
Idaho,Gooding,62,27,79,23,22
Idaho,Idaho,31,22,84,27,34
Idaho,Jefferson,32,21,87,16,13
Idaho,Jerome,70,26,82,25,26
Idaho,Kootenai,33,19,74,18,27
Idaho,Latah,9,18,82,15,23
Idaho,Lemhi,25,21,72,33,39
Idaho,Lewis,38,20,91,29,27
Idaho,Lincoln,56,26,86,19,24
Idaho,Madison,10,15,100,20,7
Idaho,Minidoka,68,23,73,22,25
Idaho,Nez Perce,38,16,83,18,31
Idaho,Oneida,24,20,96,17,17
Idaho,Owyhee,56,30,83,32,20
Idaho,Payette,48,22,75,23,28
Idaho,Power,46,25,87,24,11
Idaho,Shoshone,48,19,77,27,34
Idaho,Teton,29,27,83,17,14
Idaho,Twin Falls,52,22,76,19,27
Idaho,Valley,38,23,71,22,18
Idaho,Washington,42,25,91,26,26
Illinois,Adams,38,11,89,18,29
Illinois,Alexander,91,16,71,49,64
Illinois,Bond,34,15,85,19,17
Illinois,Boone,36,13,75,17,24
Illinois,Brown,37,22,89,14,25
Illinois,Bureau,29,12,84,18,29
Illinois,Calhoun,28,14,92,15,14
Illinois,Carroll,35,14,89,21,33
Illinois,Cass,56,15,89,20,30
Illinois,Champaign,23,12,86,20,36
Illinois,Christian,49,13,83,20,36
Illinois,Clark,43,13,83,19,25
Illinois,Clay,50,14,81,22,25
Illinois,Clinton,31,12,83,12,24
Illinois,Coles,26,13,87,22,29
Illinois,Cook,49,19,82,25,37
Illinois,Crawford,42,14,82,20,27
Illinois,Cumberland,30,13,87,18,30
Illinois,DeKalb,17,14,86,15,22
Illinois,De Witt,38,12,85,17,23
Illinois,Douglas,39,16,85,17,22
Illinois,DuPage,17,10,92,9,18
Illinois,Edgar,48,15,82,22,36
Illinois,Edwards,30,12,93,17,25
Illinois,Effingham,36,12,87,15,22
Illinois,Fayette,48,16,85,23,31
Illinois,Ford,35,12,83,17,19
Illinois,Franklin,52,15,83,28,42
Illinois,Fulton,45,15,85,19,29
Illinois,Gallatin,46,16,89,28,26
Illinois,Greene,40,14,83,22,28
Illinois,Grundy,28,10,86,9,25
Illinois,Hamilton,40,15,96,23,29
Illinois,Hancock,40,12,83,20,26
Illinois,Hardin,51,15,69,31,42
Illinois,Henderson,32,15,81,21,26
Illinois,Henry,32,12,82,16,24
Illinois,Iroquois,40,13,84,18,23
Illinois,Jackson,26,15,90,31,40
Illinois,Jasper,31,13,83,16,32
Illinois,Jefferson,53,14,80,25,35
Illinois,Jersey,29,12,88,14,23
Illinois,Jo Daviess,24,13,88,16,23
Illinois,Johnson,35,19,85,20,15
Illinois,Kane,44,15,87,16,24
Illinois,Kankakee,47,15,81,20,38
Illinois,Kendall,22,10,91,6,18
Illinois,Knox,42,14,81,25,40
Illinois,Lake,27,12,86,12,21
Illinois,LaSalle,37,13,83,18,27
Illinois,Lawrence,38,15,80,24,37
Illinois,Lee,33,14,81,15,29
Illinois,Livingston,36,12,75,16,27
Illinois,Logan,35,14,76,18,33
Illinois,McDonough,13,15,80,23,33
Illinois,McHenry,21,11,91,10,18
Illinois,McLean,19,10,85,10,26
Illinois,Macon,55,13,79,27,40
Illinois,Macoupin,36,12,87,19,30
Illinois,Madison,41,11,82,22,32
