State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Georgia,10,Harris,364.10001,14,31,81,87,23,73,21,35
Georgia,10,Hart,365.10001,12,52,83,73,33,336,0,46
Georgia,10,Henry,366.10001,12,40,72,82,28,268,9,56
Georgia,10,Houston,367.10001,13,45,71,83,35,377,13,59
Georgia,10,Irwin,368.10001,4,58,49,74,33,298,3,0
Georgia,10,Jackson,369.10001,7,67,61,86,28,227,0,46
Georgia,10,Jenkins,370.10001,2,77,47,70,37,1169,5,63
Georgia,10,Jones,371.10001,13,27,43,76,24,136,23,46
Georgia,10,Laurens,372.10001,9,68,146,77,43,521,3,58
Georgia,10,Lee,373.10001,11,30,41,75,20,93,19,57
Georgia,10,Liberty,374.10001,21,73,29,78,40,462,24,56
Georgia,10,Lowndes,375.10001,15,64,94,79,40,368,17,55
Georgia,10,McDuffie,376.10001,2,73,87,85,52,330,27,46
Georgia,10,Macon,377.10001,13,60,23,76,47,322,1,70
Georgia,10,Madison,378.10001,12,59,32,74,37,339,31,70
Georgia,10,Morgan,379.10001,10,42,59,88,29,205,1,36
Georgia,10,Murray,380.10001,11,98,17,77,24,150,29,72
Georgia,10,Muscogee,381.10001,19,72,173,82,50,667,12,57
Georgia,10,Newton,382.10001,12,58,38,84,36,402,20,56
Georgia,10,Paulding,383.10001,11,35,18,82,26,284,14,54
Georgia,10,Peach,384.10001,6,61,41,79,42,698,0,48
Georgia,10,Pickens,385.10001,10,61,71,81,22,233,21,33
Georgia,10,Polk,386.10001,7,95,36,77,36,352,0,52
Georgia,10,Pulaski,387.10001,9,60,184,81,50,84,0,56
Georgia,10,Putnam,388.10001,8,61,44,72,46,462,0,32
Georgia,10,Rabun,389.10001,9,58,84,93,28,120,0,38
Georgia,10,Richmond,390.10001,18,70,166,78,57,551,16,52
Georgia,10,Rockdale,391.10001,15,44,110,84,36,466,12,49
Georgia,10,Seminole,392.10001,5,75,143,84,53,272,3,56
Georgia,10,Spalding,393.10001,12,81,75,69,47,478,21,48
Georgia,10,Stephens,394.10001,7,61,106,83,30,295,0,41
Georgia,10,Tattnall,395.10001,15,93,30,68,41,161,1,58
Georgia,10,Telfair,396.10001,8,91,45,81,44,544,4,62
Georgia,10,Thomas,397.10001,10,68,111,79,45,288,3,56
Georgia,10,Tift,398.10001,4,78,129,83,42,702,0,58
Georgia,10,Towns,399.10001,10,26,118,97,29,167,0,21
Georgia,10,Treutlen,400.10001,10,71,29,71,33,226,1,100
Georgia,10,Turner,401.10001,11,87,86,74,52,134,0,50
Georgia,10,Twiggs,402.10001,1,53,20,83,37,238,37,33
Georgia,10,Walker,403.10001,8,74,40,76,31,520,23,51
Georgia,10,Walton,404.10001,12,51,55,82,22,240,20,54
Georgia,10,Ware,405.10001,11,92,117,71,35,494,3,48
Georgia,10,White,406.10001,6,53,44,94,31,276,0,34
Georgia,10,Whitfield,407.10001,8,101,93,85,32,400,18,61
Georgia,10,Wilcox,408.10001,3,73,100,83,50,170,1,50
Georgia,10,Wilkinson,409.10001,3,63,20,79,45,125,7,50
Georgia,10,Worth,410.10001,7,52,42,73,48,117,31,50
Hawaii,11,Hawaii,411.10999,21,46,114,82,36,258,6,51
Hawaii,11,Honolulu,412.10999,18,36,146,100,27,284,6,56
Hawaii,11,Kauai,413.10999,22,39,136,82,29,309,6,46
Hawaii,11,Maui,414.10999,20,43,116,82,32,217,6,42
Idaho,12,Ada,415.12,17,30,140,84,23,248,5,50
Idaho,12,Adams,416.12,23,25,28,68,33,152,4,25
Idaho,12,Bannock,417.12,14,40,138,91,23,264,13,50
